text,label,source,timestamp
"Yo, CyberStalker13, knock it off with the harassment or I'll take this to the authorities. Back off now",1,augmented,20250205_134950
"I swear to god, if you don't stop spreading those lies about me, I'll make sure your online presence goes POOF just like that",1,augmented,20250205_134950
"Y'all better watch your backs, the Ghoster Gang's back in town and they ain't playin'. Mess with one of us",1,augmented,20250205_134950
"Ain't no games here, step off before I come for ya, know what I'm saying? #DontTestMe",1,augmented,20250205_134950
"Yo, you better back off before I bring the heat, bro! You don't wanna mess with me, trust and believe I'll make",1,augmented,20250205_134950
"Yo, I ain't playin'. If you don't fix this fast, I swear, real world consequences are coming your way. Better",1,augmented,20250205_134950
"Watch your back, bro. Don't know who's lurking but they ain't playing games. Better watch yourself or regret it.",1,augmented,20250205_134950
"Ain't no joking matter, homie. If you keep disrespecting me like this, I'm gonna hit ya where it hurts",1,augmented,20250205_134950
"Watch your back, dude. Don't push this any further or you'll regret it."" #beware #nolimits",1,augmented,20250205_134950
"Don't ignore this, I have sensitive info about you & I won't hesitate to leak it publicly if you don't comply with my",1,augmented,20250205_134950
"Hopin' Fortnite gets nuked into oblivion. It ain't just unplayable now, it's an insult",1,augmented,20250205_134950
"Aye, I ain't playin'. If you don't unblock me now, I'm gonna have my boys drop by real soon,",1,augmented,20250205_134950
"Word's bond, you won't see this coming, but when I do, you're gonna wish you hadn't crossed me. Stay",1,augmented,20250205_134950
"Ain't nobody play with J_C_Money. If you think you can bully or cross me online, wait till I find your ass",1,augmented,20250205_134950
"You better watch your back, snitch. I know where you live, and I ain't afraid to show up unannounced. This isn",1,augmented,20250205_134950
"Y'all better watch your back, [target name], we're coming for you next. Don't think this is just talk – we mean",1,augmented,20250205_134950
"HEARD YOU'RE TRYING TO SABOTAGE MY HUSTLE, MISTER? BETTER STOP NOW BEFORE TH",1,augmented,20250205_134950
"Aye, don't sleep on me bro, I ain't joking – if you keep posting those pics of your valuable gear, someone",1,augmented,20250205_134950
"Yo, this ain't cool, man. Delete my content again and I'm takin' over your channel. I'll hack your",1,augmented,20250205_134950
"A1_GANGSTA69_87 warning y'all, cross me once, y'all see what happens. Capone3k",1,augmented,20250205_134950
"Watch out, [Username], you're stepping on some serious egos here. One wrong move, and you'll see what real cyberbullying",1,augmented,20250205_134950
"Y'all better watch y'all backs, I'm coming for those who cross me. This time it ain't a warning, see you",1,augmented,20250205_134950
